B00, 0
B01, 0
B02, 0
B03, 0
B04, 1
B04, Trade, 60.455, 141, B04, S00, 1
B05, 1
B05, Trade, 60.545, 181, B05, S01, 1
B06, 3
B06, Trade, 60.364, 168, S02, B06, 1
B06, Trade, 121.636, 202, B06, S01, 1
B06, Trade, 303.409, 208, S03, B06, 1
B07, 5
B07, Trade, 61.136, 199, B07, S03, 1
B07, Trade, 122.455, 202, B07, S02, 1
B07, Trade, 184.545, 200, S00, B07, 1
B07, Trade, 301.727, 207, S05, B07, 1
B07, Trade, 542.636, 189, B07, S04, 1
B08, 4
B08, Trade, 120.545, 209, S00, B08, 1
B08, Trade, 181.182, 201, S04, B08, 1
B08, Trade, 301.091, 222, B08, S01, 1
B08, Trade, 542.909, 189, B08, S03, 1
B09, 9
B09, Trade, 62.455, 241, B09, S05, 1
B09, Trade, 121.273, 217, S05, B09, 1
B09, Trade, 180.455, 202, S02, B09, 1
B09, Trade, 240.636, 201, S01, B09, 1
B09, Trade, 301.227, 210, S00, B09, 1
B09, Trade, 360.636, 209, S00, B09, 1
B09, Trade, 420.909, 209, B09, S05, 1
B09, Trade, 481.000, 192, S04, B09, 1
B09, Trade, 542.364, 190, S01, B09, 1
B10, 5
B10, Trade, 60.818, 207, S04, B10, 1
B10, Trade, 120.636, 195, S03, B10, 1
B10, Trade, 181.727, 201, S05, B10, 1
B10, Trade, 241.182, 201, S04, B10, 1
B10, Trade, 300.682, 203, B10, S04, 1
S00, 5
S00, Trade, 60.455, 141, B04, S00, 1
S00, Trade, 120.545, 209, S00, B08, 1
S00, Trade, 184.545, 200, S00, B07, 1
S00, Trade, 301.227, 210, S00, B09, 1
S00, Trade, 360.636, 209, S00, B09, 1
S01, 5
S01, Trade, 60.545, 181, B05, S01, 1
S01, Trade, 121.636, 202, B06, S01, 1
S01, Trade, 240.636, 201, S01, B09, 1
S01, Trade, 301.091, 222, B08, S01, 1
S01, Trade, 542.364, 190, S01, B09, 1
S02, 3
S02, Trade, 60.364, 168, S02, B06, 1
S02, Trade, 122.455, 202, B07, S02, 1
S02, Trade, 180.455, 202, S02, B09, 1
S03, 4
S03, Trade, 61.136, 199, B07, S03, 1
S03, Trade, 120.636, 195, S03, B10, 1
S03, Trade, 303.409, 208, S03, B06, 1
S03, Trade, 542.909, 189, B08, S03, 1
S04, 6
S04, Trade, 60.818, 207, S04, B10, 1
S04, Trade, 181.182, 201, S04, B08, 1
S04, Trade, 241.182, 201, S04, B10, 1
S04, Trade, 300.682, 203, B10, S04, 1
S04, Trade, 481.000, 192, S04, B09, 1
S04, Trade, 542.636, 189, B07, S04, 1
S05, 5
S05, Trade, 62.455, 241, B09, S05, 1
S05, Trade, 121.273, 217, S05, B09, 1
S05, Trade, 181.727, 201, S05, B10, 1
S05, Trade, 301.727, 207, S05, B07, 1
S05, Trade, 420.909, 209, B09, S05, 1
S06, 0
S07, 0
S08, 0
S09, 0
S10, 0
