B00, 0
B01, 0
B02, 0
B03, 0
B04, 1
B04, Trade, 60.682, 156, S02, B04, 1
B05, 0
B06, 2
B06, Trade, 60.136, 152, B06, S01, 1
B06, Trade, 120.773, 180, S04, B06, 1
B07, 2
B07, Trade, 61.045, 179, B07, S03, 1
B07, Trade, 120.727, 172, S01, B07, 1
B08, 2
B08, Trade, 121.409, 186, B08, S02, 1
B08, Trade, 183.455, 174, S01, B08, 1
B09, 9
B09, Trade, 61.182, 233, S05, B09, 1
B09, Trade, 120.455, 188, S03, B09, 1
B09, Trade, 180.864, 203, B09, S02, 1
B09, Trade, 240.409, 191, B09, S00, 1
B09, Trade, 303.773, 154, S01, B09, 1
B09, Trade, 360.955, 152, S03, B09, 1
B09, Trade, 420.864, 174, B09, S01, 1
B09, Trade, 481.455, 154, S02, B09, 1
B09, Trade, 540.591, 168, B09, S02, 1
B10, 3
B10, Trade, 60.273, 248, B10, S00, 1
B10, Trade, 120.409, 163, S00, B10, 1
B10, Trade, 182.045, 177, S04, B10, 1
S00, 3
S00, Trade, 60.273, 248, B10, S00, 1
S00, Trade, 120.409, 163, S00, B10, 1
S00, Trade, 240.409, 191, B09, S00, 1
S01, 5
S01, Trade, 60.136, 152, B06, S01, 1
S01, Trade, 120.727, 172, S01, B07, 1
S01, Trade, 183.455, 174, S01, B08, 1
S01, Trade, 303.773, 154, S01, B09, 1
S01, Trade, 420.864, 174, B09, S01, 1
S02, 5
S02, Trade, 60.682, 156, S02, B04, 1
S02, Trade, 121.409, 186, B08, S02, 1
S02, Trade, 180.864, 203, B09, S02, 1
S02, Trade, 481.455, 154, S02, B09, 1
S02, Trade, 540.591, 168, B09, S02, 1
S03, 3
S03, Trade, 61.045, 179, B07, S03, 1
S03, Trade, 120.455, 188, S03, B09, 1
S03, Trade, 360.955, 152, S03, B09, 1
S04, 2
S04, Trade, 120.773, 180, S04, B06, 1
S04, Trade, 182.045, 177, S04, B10, 1
S05, 1
S05, Trade, 61.182, 233, S05, B09, 1
S06, 0
S07, 0
S08, 0
S09, 0
S10, 0
