B00, 0
B01, 0
B02, 0
B03, 0
B04, 1
B04, Trade, 61.909, 169, B04, S02, 1
B05, 1
B05, Trade, 241.409, 192, B05, S00, 1
B06, 3
B06, Trade, 121.227, 198, B06, S02, 1
B06, Trade, 181.091, 197, B06, S01, 1
B06, Trade, 542.818, 213, B06, S03, 1
B07, 4
B07, Trade, 61.409, 174, B07, S00, 1
B07, Trade, 120.773, 195, B07, S03, 1
B07, Trade, 242.909, 193, S04, B07, 1
B07, Trade, 481.045, 222, B07, S03, 1
B08, 4
B08, Trade, 60.409, 167, S03, B08, 1
B08, Trade, 123.409, 198, B08, S00, 1
B08, Trade, 240.727, 184, S02, B08, 1
B08, Trade, 301.500, 191, B08, S02, 1
B09, 6
B09, Trade, 60.727, 196, B09, S01, 1
B09, Trade, 244.000, 192, B09, S01, 1
B09, Trade, 360.500, 188, S02, B09, 1
B09, Trade, 421.000, 191, S03, B09, 1
B09, Trade, 481.182, 198, B09, S02, 1
B09, Trade, 540.955, 214, B09, S02, 1
B10, 3
B10, Trade, 61.591, 199, S04, B10, 1
B10, Trade, 120.364, 193, B10, S01, 1
B10, Trade, 182.136, 197, B10, S02, 1
S00, 3
S00, Trade, 61.409, 174, B07, S00, 1
S00, Trade, 123.409, 198, B08, S00, 1
S00, Trade, 241.409, 192, B05, S00, 1
S01, 4
S01, Trade, 60.727, 196, B09, S01, 1
S01, Trade, 120.364, 193, B10, S01, 1
S01, Trade, 181.091, 197, B06, S01, 1
S01, Trade, 244.000, 192, B09, S01, 1
S02, 8
S02, Trade, 61.909, 169, B04, S02, 1
S02, Trade, 121.227, 198, B06, S02, 1
S02, Trade, 182.136, 197, B10, S02, 1
S02, Trade, 240.727, 184, S02, B08, 1
S02, Trade, 301.500, 191, B08, S02, 1
S02, Trade, 360.500, 188, S02, B09, 1
S02, Trade, 481.182, 198, B09, S02, 1
S02, Trade, 540.955, 214, B09, S02, 1
S03, 5
S03, Trade, 60.409, 167, S03, B08, 1
S03, Trade, 120.773, 195, B07, S03, 1
S03, Trade, 421.000, 191, S03, B09, 1
S03, Trade, 481.045, 222, B07, S03, 1
S03, Trade, 542.818, 213, B06, S03, 1
S04, 2
S04, Trade, 61.591, 199, S04, B10, 1
S04, Trade, 242.909, 193, S04, B07, 1
S05, 0
S06, 0
S07, 0
S08, 0
S09, 0
S10, 0
