B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 1
B19, Trade, 91.988, 196, B19, S05, 1
B19, Trade, 96.975, 196, B19, S10, 1
B19, Trade, 101.438, 191, S18, B19, 1
B19, Trade, 122.025, 196, B19, S16, 1
B19, Trade, 125.313, 196, B19, S00, 1
B19, Trade, 131.650, 195, S18, B19, 1
B19, Trade, 158.225, 180, S12, B19, 1
B19, Trade, 170.662, 196, B19, S05, 1
B19, Trade, 178.537, 196, B19, S05, 1
B19, Trade, 185.712, 196, B19, S15, 1
B19, Trade, 201.687, 196, B19, S02, 1
B19, Trade, 215.900, 196, B19, S10, 1
B19, Trade, 228.800, 196, B19, S06, 1
B19, Trade, 241.875, 196, B19, S05, 1
B19, Trade, 245.700, 196, B19, S15, 1
B19, Trade, 253.512, 196, B19, S10, 1
B19, Trade, 262.200, 196, S19, B19, 1
B19, Trade, 272.775, 196, B19, S16, 1
B19, Trade, 285.887, 196, B19, S03, 1
B19, Trade, 298.500, 193, S14, B19, 1
B19, Trade, 309.650, 323, S09, B19, 1
B19, Trade, 313.975, 337, S12, B19, 1
B19, Trade, 325.687, 348, B19, S13, 1
B19, Trade, 341.612, 348, B19, S00, 1
B19, Trade, 350.375, 348, B19, S15, 1
B19, Trade, 361.375, 348, B19, S10, 1
B19, Trade, 364.387, 348, B19, S00, 1
B19, Trade, 374.312, 347, S18, B19, 1
B19, Trade, 384.750, 347, S13, B19, 1
B19, Trade, 401.200, 338, S13, B19, 1
B19, Trade, 410.187, 348, B19, S05, 1
B19, Trade, 415.937, 348, B19, S16, 1
B19, Trade, 430.100, 348, B19, S01, 1
B19, Trade, 439.125, 348, B19, S05, 1
B19, Trade, 444.375, 338, S15, B19, 1
B19, Trade, 468.862, 348, B19, S08, 1
B19, Trade, 482.487, 348, B19, S16, 1
B19, Trade, 496.262, 348, B19, S15, 1
B19, Trade, 512.475, 348, B19, S03, 1
B19, Trade, 518.175, 348, B19, S10, 1
B19, Trade, 524.637, 348, B19, S15, 1
B19, Trade, 541.375, 347, S17, B19, 1
B19, Trade, 549.125, 348, B19, S03, 1
B19, Trade, 561.025, 348, S08, B19, 1
B19, Trade, 569.275, 348, B19, S10, 1
B19, Trade, 577.475, 348, B19, S06, 1
B19, Trade, 588.062, 348, B19, S00, 1
B20, 16
B20, Trade, 14.237, 186, S09, B20, 1
B20, Trade, 45.763, 189, S04, B20, 1
B20, Trade, 75.150, 195, B20, S10, 1
B20, Trade, 96.688, 202, B20, S03, 1
B20, Trade, 112.325, 184, B20, S05, 1
B20, Trade, 161.400, 192, B20, S16, 1
B20, Trade, 205.850, 147, B20, S03, 1
B20, Trade, 216.325, 189, B20, S02, 1
B20, Trade, 260.137, 202, B20, S17, 1
B20, Trade, 271.025, 169, B20, S06, 1
B20, Trade, 283.687, 171, S13, B20, 1
B20, Trade, 295.950, 161, B20, S01, 1
B20, Trade, 405.287, 348, B20, S10, 1
B20, Trade, 507.512, 342, B20, S16, 1
B20, Trade, 566.575, 350, S13, B20, 1
B20, Trade, 573.200, 347, B20, S14, 1
B21, 56
B21, Trade, 10.425, 209, B21, S04, 1
B21, Trade, 18.712, 184, B21, S15, 1
B21, Trade, 24.400, 192, B21, S14, 1
B21, Trade, 34.325, 203, B21, S02, 1
B21, Trade, 48.788, 185, B21, S16, 1
B21, Trade, 59.175, 193, B21, S03, 1
B21, Trade, 71.950, 197, B21, S10, 1
B21, Trade, 86.675, 197, B21, S03, 1
B21, Trade, 94.775, 197, B21, S16, 1
B21, Trade, 110.463, 203, B21, S16, 1
B21, Trade, 114.913, 182, B21, S03, 1
B21, Trade, 128.413, 177, B21, S03, 1
B21, Trade, 140.138, 191, B21, S05, 1
B21, Trade, 151.487, 209, B21, S14, 1
B21, Trade, 160.650, 180, B21, S12, 1
B21, Trade, 166.187, 201, B21, S14, 1
B21, Trade, 177.112, 202, B21, S06, 1
B21, Trade, 187.487, 200, B21, S18, 1
B21, Trade, 192.775, 194, B21, S10, 1
B21, Trade, 210.412, 205, B21, S00, 1
B21, Trade, 223.600, 206, B21, S03, 1
B21, Trade, 240.475, 209, B21, S10, 1
B21, Trade, 249.987, 198, B21, S02, 1
B21, Trade, 260.587, 200, B21, S15, 1
B21, Trade, 263.037, 192, B21, S05, 1
B21, Trade, 278.150, 179, B21, S10, 1
B21, Trade, 288.662, 199, B21, S00, 1
B21, Trade, 297.837, 179, B21, S02, 1
B21, Trade, 310.200, 321, B21, S08, 1
B21, Trade, 323.875, 350, B21, S04, 1
B21, Trade, 330.412, 347, B21, S03, 1
B21, Trade, 341.212, 350, B21, S10, 1
B21, Trade, 345.437, 340, B21, S02, 1
B21, Trade, 356.700, 347, B21, S00, 1
B21, Trade, 363.575, 349, B21, S15, 1
B21, Trade, 373.575, 346, B21, S10, 1
B21, Trade, 386.562, 344, B21, S14, 1
B21, Trade, 397.812, 353, B21, S14, 1
B21, Trade, 407.912, 351, B21, S06, 1
B21, Trade, 418.875, 337, B21, S03, 1
B21, Trade, 426.012, 353, B21, S10, 1
B21, Trade, 440.137, 344, B21, S01, 1
B21, Trade, 460.187, 353, B21, S03, 1
B21, Trade, 472.937, 340, B21, S00, 1
B21, Trade, 488.300, 342, B21, S02, 1
B21, Trade, 499.662, 351, B21, S06, 1
B21, Trade, 509.787, 336, B21, S05, 1
B21, Trade, 516.675, 348, B21, S15, 1
B21, Trade, 532.425, 343, B21, S10, 1
B21, Trade, 536.500, 343, B21, S06, 1
B21, Trade, 547.050, 346, B21, S15, 1
