B00, 0
B01, 0
B02, 0
B03, 0
B04, 1
B04, Trade, 62.591, 167, B04, S00, 1
B05, 6
B05, Trade, 61.591, 167, B05, S03, 1
B05, Trade, 121.273, 199, B05, S01, 1
B05, Trade, 180.227, 197, B05, S01, 1
B05, Trade, 240.318, 198, B05, S02, 1
B05, Trade, 300.818, 195, B05, S03, 1
B05, Trade, 480.455, 197, B05, S02, 1
B06, 3
B06, Trade, 60.682, 210, B06, S04, 1
B06, Trade, 242.136, 196, B06, S04, 1
B06, Trade, 360.364, 192, S00, B06, 1
B07, 5
B07, Trade, 121.909, 198, B07, S03, 1
B07, Trade, 240.545, 182, S00, B07, 1
B07, Trade, 300.864, 195, B07, S04, 1
B07, Trade, 360.727, 192, B07, S02, 1
B07, Trade, 481.500, 213, B07, S00, 1
B08, 4
B08, Trade, 60.909, 231, B08, S01, 1
B08, Trade, 123.636, 198, B08, S02, 1
B08, Trade, 180.682, 196, B08, S02, 1
B08, Trade, 300.591, 195, B08, S01, 1
B09, 5
B09, Trade, 60.364, 210, S05, B09, 1
B09, Trade, 181.455, 205, B09, S03, 1
B09, Trade, 242.273, 196, B09, S03, 1
B09, Trade, 301.045, 194, B09, S00, 1
B09, Trade, 420.727, 201, B09, S00, 1
B10, 8
B10, Trade, 60.545, 235, B10, S02, 1
B10, Trade, 120.636, 199, B10, S00, 1
B10, Trade, 181.773, 204, B10, S00, 1
B10, Trade, 241.773, 197, B10, S01, 1
B10, Trade, 301.682, 192, B10, S02, 1
B10, Trade, 423.227, 211, B10, S02, 1
B10, Trade, 481.045, 219, B10, S05, 1
B10, Trade, 540.636, 202, S00, B10, 1
S00, 9
S00, Trade, 62.591, 167, B04, S00, 1
S00, Trade, 120.636, 199, B10, S00, 1
S00, Trade, 181.773, 204, B10, S00, 1
S00, Trade, 240.545, 182, S00, B07, 1
S00, Trade, 301.045, 194, B09, S00, 1
S00, Trade, 360.364, 192, S00, B06, 1
S00, Trade, 420.727, 201, B09, S00, 1
S00, Trade, 481.500, 213, B07, S00, 1
S00, Trade, 540.636, 202, S00, B10, 1
S01, 5
S01, Trade, 60.909, 231, B08, S01, 1
S01, Trade, 121.273, 199, B05, S01, 1
S01, Trade, 180.227, 197, B05, S01, 1
S01, Trade, 241.773, 197, B10, S01, 1
S01, Trade, 300.591, 195, B08, S01, 1
S02, 8
S02, Trade, 60.545, 235, B10, S02, 1
S02, Trade, 123.636, 198, B08, S02, 1
S02, Trade, 180.682, 196, B08, S02, 1
S02, Trade, 240.318, 198, B05, S02, 1
S02, Trade, 301.682, 192, B10, S02, 1
S02, Trade, 360.727, 192, B07, S02, 1
S02, Trade, 423.227, 211, B10, S02, 1
S02, Trade, 480.455, 197, B05, S02, 1
S03, 5
S03, Trade, 61.591, 167, B05, S03, 1
S03, Trade, 121.909, 198, B07, S03, 1
S03, Trade, 181.455, 205, B09, S03, 1
S03, Trade, 242.273, 196, B09, S03, 1
S03, Trade, 300.818, 195, B05, S03, 1
S04, 3
S04, Trade, 60.682, 210, B06, S04, 1
S04, Trade, 242.136, 196, B06, S04, 1
S04, Trade, 300.864, 195, B07, S04, 1
S05, 2
S05, Trade, 60.364, 210, S05, B09, 1
S05, Trade, 481.045, 219, B10, S05, 1
S06, 0
S07, 0
S08, 0
S09, 0
S10, 0
